,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,52.24,26.61,1.91,2.52,7.12,11.90,4.84,13340000000.0,20.96,13340000000.0,13340000000.0,19.58,2.03,1.91,10.99,1.91,3590000000.0,13340000000.0,497000000.0,1.47,92.40,5.10,3030000000.0,9.04,2760000000.0,3.31,15.77,13340000000.0,13340000000.0,0.26,85.00,3200000.0,1.20,1.00,3550000.0,N/A
1,N/A,N/A,aa,N/A,N/A,N/A,N/A,N/A,59.39,N/A,0.76,1.43,9.65,7.53,2.89,23640000000.0,20.44,23640000000.0,23640000000.0,14.33,0.51,1.02,7.56,1.02,3750000000.0,23640000000.0,2230000000.0,1.98,520.80,8.20,3280000000.0,2.78,8990000000.0,1.81,10.48,23640000000.0,23640000000.0,0.12,67.40,38540000.0,2.70,3.60,42930000.0,N/A
2,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,31.64,16.35,3.41,5.59,21.61,28.72,14.96,672510000000.0,30.04,672510000000.0,672510000000.0,12.30,1.27,3.68,11.12,3.68,70540000000.0,672510000000.0,39510000000.0,6.45,12.70,12.40,25160000000.0,4.29,35300000000.0,1.08,19.01,672510000000.0,672510000000.0,0.05,62.10,78180000.0,1.90,1.30,74480000.0,N/A
3,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,324.24,27.90,5.25,22.18,18.92,31.55,13.64,114130000000.0,12.31,114130000000.0,114130000000.0,14.87,1.60,5.82,16.35,5.82,14210000000.0,114130000000.0,3690000000.0,2.30,47.50,7.80,7730000000.0,4.85,15060000000.0,2.65,2.92,114130000000.0,114130000000.0,0.08,39.90,21740000.0,2.90,1.40,23110000.0,N/A
4,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,101.98,76.50,0.16,10.17,0.23,0.99,3.66,20430000000.0,525.89,20430000000.0,20430000000.0,17.96,1.56,0.17,14.86,0.17,2980000000.0,20430000000.0,284030000.0,1.18,32.90,29.10,1810000000.0,8.27,2000000000.0,0.97,8.82,20430000000.0,20430000000.0,5.28,85.20,7900000.0,4.10,3.40,7460000.0,N/A
5,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,36.10,34.89,3.05,2.95,8.88,14.51,4.64,70370000000.0,14.52,70370000000.0,70370000000.0,19.56,2.07,3.18,14.68,3.18,11810000000.0,70370000000.0,1960000000.0,1.27,44.30,5.80,4880000000.0,3.24,8300000000.000001,1.52,15.20,70370000000.0,70370000000.0,0.20,68.80,11360000.0,2.60,0.80,11650000.0,N/A
6,N/A,N/A,ace,N/A,N/A,N/A,N/A,N/A,25.51,11.56,1.91,1.25,16.88,20.00,2.54,42280000000.0,57.75,42280000000.0,42280000000.0,11.94,2.35,2.17,10.54,2.17,6740000000.0,42280000000.0,3300000000.0,9.66,14.30,0.20,3560000000.0,10.73,7660000000.0,0.41,90.38,42280000000.0,42280000000.0,0.65,92.30,4440000.0,3.50,1.30,4880000.0,N/A
7,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,266.55,N/A,0.12,0.18,24.27,8.26,1.62,4480000000.0,13.39,4480000000.0,4480000000.0,N/A,0.19,1.58,24.12,1.58,351220000.0,4480000000.0,691010000.0,3.26,N/A,6.20,1050000000.0,4.92,5160000000.0,2.98,9.11,4480000000.0,4480000000.0,0.53,73.70,46150000.0,5.40,22.20,46190000.0,N/A
8,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.43,19.13,1.83,9.58,9.80,14.27,15.38,47740000000.0,47.31,47740000000.0,47740000000.0,16.53,1.93,1.59,10.19,1.59,9680000000.0,47740000000.0,2940000000.0,4.52,4.50,9.70,4920000000.0,7.85,26730000.0,1.46,9.12,47740000000.0,47740000000.0,0.32,83.30,15260000.0,6.40,2.40,15440000.0,N/A
9,N/A,N/A,act,N/A,N/A,N/A,N/A,N/A,53.31,N/A,5.77,2.33,8.88,9.45,2.07,84910000000.0,59.87,84910000000.0,84910000000.0,15.41,0.88,7.21,25.04,7.21,3990000000.0,84910000000.0,1050000000.0,5.31,N/A,83.00,340400000.0,1.28,15540000000.0,1.40,110.00,84910000000.0,84910000000.0,7.09,55.00,12220000.0,3.10,7.00,2500000.0,N/A
10,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,22.41,150.06,8.72,5.33,5.97,9.81,2.44,32770000000.000004,8.26,32770000000.000004,32770000000.000004,21.50,2.21,7.96,45.48,7.96,3470000000.0,32770000000.000004,245580000.0,0.47,46.20,1.00,3520000000.0,7.06,1510000000.0,1.91,13.50,32770000000.000004,32770000000.000004,5.31,86.60,5670000.0,2.20,1.20,6030000.0,N/A
11,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,18.34,26.97,5.95,3.58,21.97,27.57,7.45,15600000000.0,9.15,15600000000.0,15600000000.0,17.06,1.83,5.45,16.74,5.45,1830000000.0,15600000000.0,629320000.0,1.98,46.10,20.10,2870000000.0,9.16,872790000.0,5.38,15.21,15600000000.0,15600000000.0,0.91,85.60,7190000.0,3.20,2.30,8060000.000000001,N/A
12,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,27.37,16.97,0.38,1.60,2.28,3.29,4.17,33430000000.0,128.64,33430000000.0,33430000000.0,13.73,0.89,0.40,9.16,0.40,3890000000.0,33430000000.0,1920000000.0,2.91,56.90,15.30,4890000000.0,7.59,5540000000.0,1.94,31.31,33430000000.0,33430000000.0,2.11,76.20,4860000.0,1.70,0.80,5050000.0,N/A
13,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,33.43,26.83,3.23,6.88,11.94,18.30,4.76,40250000000.0,25.95,40250000000.0,40250000000.0,24.88,2.66,3.24,15.40,3.24,4990000000.0,40250000000.0,1540000000.0,3.07,10.20,9.00,2480000000.0,5.14,1950000000.0,1.11,12.10,40250000000.0,40250000000.0,0.14,76.10,7480000.0,3.60,1.60,8770000.0,N/A
14,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,32.93,108.87,5.48,5.88,5.10,6.89,2.32,12230000000.0,10.73,12230000000.0,12230000000.0,42.87,6.68,5.02,39.33,5.02,2000000000.0,12230000000.0,124200000.0,0.53,81.40,11.30,1900000000.0,8.36,747000000.0,2.06,9.97,12230000000.0,12230000000.0,0.31,90.40,4160000.0,1.90,1.80,4900000.0,N/A
